,SALARYRANGE,aborginal,minority,disabilities,all
1,"$  5,000 - $ 7,499",120,689,100,3932
2,"$  7,500 - $ 9,999",146,773,132,4278
3,"$ 10,000 - $12,499",168,1122,231,5736
4,"$ 12,500 - $14,999",487,6725,680,21686
5,"$ 15,000 - $17,499",457,4866,541,17345
6,"$ 15,000 - $19,999",109,522,42,2340
7,"$ 17,500 - $19,999",487,4897,551,17729
8,"$ 20,000 - $22,499",412,4477,588,16574
9,"$ 20,000 - $24,999",214,1840,110,7365
10,"$ 22,500 - $24,999",351,3781,539,14239
11,"$ 25,000 - $29,999",1399,14637,1830,52494
12,"$ 30,000 - $34,999",1610,14003,1983,56807
13,"$ 35,000 - $37,499",760,7757,1145,27814
14,"$ 35,000 - $39,999",358,3323,544,14995
15,"$ 37,500 - $39,999",800,9002,1376,32443
16,"$ 40,000 - $44,999",1814,24037,3641,86121
17,"$ 40,000 - $49,999",364,3186,541,15986
18,"$ 45,000 - $49,999",2004,23657,3312,89282
19,"$ 50,000 - $59,999",4812,52882,7975,214555
20,"$ 50,000 and over",429,2853,606,17677
21,"$ 60,000 - $69,999",4402,41902,6351,182954
22,"$ 70,000 - $84,999",5072,47150,6812,205493
23,"$ 85,000 - $99,999",3126,35847,4852,145190
24,"$100,000 and over",5957,67189,9056,308778
25,"Under $15,000",241,1738,141,8502
26,"Under $5,000",294,1308,173,6401
,Salary Range,Aboriginal,,,
,"under $10,000",507,,,
,"$10,000-$20,000",1949,,,
,"$20,000-$30,000",2376,,,
,"$30,000-$40,000",3528,,,
,"$40,000-$50,000",4182,,,
,"$50,000-$60,000",5241,,,
,"$60,000-$70,000",4402,,,
,"$70,000-$84,999",5072,,,
,"$85,000-$99,999",3126,,,
,"above $100,000",5957,,,
,,,,,
,Salary Range,All,,,
,"under $10,000",16712,,,
,"$10,000-$20,000",73338,,,
,"$20,000-$30,000",90672,,,
,"$30,000-$40,000",132059,,,
,"$40,000-$50,000",191389,,,
,"$50,000-$60,000",232232,,,
,"$60,000-$70,000",182954,,,
,"$70,000-$84,999",205493,,,
,"$85,000-$99,999",145190,,,
,"above $100,000",308778,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,Salary Range,Minority,,,
,"under $10,000",3200,,,
,"$10,000-$20,000",19870,,,
,"$20,000-$30,000",24735,,,
,"$30,000-$40,000",34085,,,
,"$40,000-$50,000",50880,,,
,"$50,000-$60,000",55735,,,
,"$60,000-$70,000",41902,,,
,"$70,000-$84,999",47150,,,
,"$85,000-$99,999",35847,,,
,"above $100,000",67189,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,Salary Range,Disabilities,,,
,"under $10,000",373,,,
,"$10,000-$20,000",2186,,,
,"$20,000-$30,000",3067,,,
,"$30,000-$40,000",5048,,,
,"$40,000-$50,000",7494,,,
,"$50,000-$60,000",8581,,,
,"$60,000-$70,000",6351,,,
,"$70,000-$84,999",6812,,,
,"$85,000-$99,999",4852,,,
,"above $100,000",9056,,,
